OCOD3,SENWT,CNTSCHID,BSMJ,ST001D01T,GCSELFEFF,PV8RTSN,PV10RCER,MASTGOAL,PV4RCER,GCAWARE,PV4RTML,PV10RTSN,PV4RCLI,PV1RCER,PV7RCUN,PV1RTML,PV3RCUN,PV5RTSN,PV6RTSN,PV8RTML,PV3RCER,PV9RCLI,PV8RCLI,PV9MATH,PV6RTML,PV9READ,PV8RCUN,PV3READ,PV3RTSN,PV2RTSN,PV1GLCM,PV7RCER,PV8RCER,PV9RTSN,PV10RTML,PV6RCER,PV5RCUN,PV10RCLI,PV7RTML,Score_pond
2149.0,0.04573,72400399.0,78.69,10.0,0.1904,483.816,559.708,-0.8444,520.462,-0.04,506.822,507.454,519.296,576.626,495.756,500.46,463.529,485.461,515.057,536.251,508.093,482.858,566.718,471.752,509.022,535.672,507.264,500.72,515.699,492.365,526.415,465.377,473.749,523.215,504.752,522.632,480.534,551.407,529.221,1327.308988553147
2212.0,0.09757,72400896.0,81.92,10.0,-0.3004,521.65,533.539,1.8524,480.633,-0.0549,547.256,547.358,516.498,519.195,568.77,533.308,563.664,544.412,517.925,569.892,548.603,519.076,533.721,560.366,537.911,547.137,552.853,519.72,497.827,540.111,627.098,552.154,520.874,526.15,522.529,536.227,529.291,538.566,512.585,1394.1218423188902
2149.0,0.11901,72400538.0,78.69,10.0,-0.2302,555.258,525.687,0.5761,547.693,0.9153,524.809,541.453,509.307,533.273,564.149,542.169,535.837,581.928,524.22,574.92,553.047,581.126,576.295,562.802,504.102,560.373,553.641,551.43,547.966,542.755,579.379,614.775,544.659,578.119,558.934,527.244,534.945,555.251,552.869,1425.1016135465857
9999.0,0.06303,72400924.0,68.29148356952543,10.0,-0.2302,548.562,489.065,-0.7346,546.11,-0.7205,514.114,541.828,492.435,530.09,555.183,537.2,518.56,547.875,484.236,549.198,563.916,546.654,577.741,584.634,541.065,568.721,502.717,519.967,535.53,532.41,519.032,560.005,579.042,539.657,534.539,542.741,520.571,542.657,550.755,1717.724214114107
3431.0,0.156,72400568.0,50.15,8.0,-0.2032,412.038,458.743,-2.0701,404.347,-0.9885,404.209,436.341,433.346,367.827,450.087,473.896,470.978,447.226,422.068,438.734,416.332,425.519,485.476,516.766,430.44,458.472,450.999,464.985,480.806,456.241,478.598,489.576,431.693,478.036,447.022,473.316,466.653,432.735,434.019,1227.9930476252894
2149.0,0.06313,72400441.0,78.69,10.0,-0.0725,481.175,522.334,-0.094,522.934,-0.3387,539.08,505.203,546.913,542.377,534.564,481.271,510.355,513.589,495.006,507.818,538.775,520.475,556.489,575.626,550.161,534.945,497.666,542.49,515.864,498.507,542.768,561.792,574.67,496.456,507.015,525.103,496.653,551.196,515.656,1362.2833275905057
2140.0,0.03315,72400458.0,79.05,10.0,0.6116,526.98,547.346,1.8524,536.223,0.1578,444.001,495.354,488.81,484.832,516.907,506.093,501.9,484.526,504.589,473.243,535.791,570.079,545.333,522.343,473.904,542.837,512.845,475.096,502.286,522.076,559.162,533.718,530.159,480.212,480.48,500.499,495.381,524.828,508.116,1326.2094308375392
2149.0,0.04583,72400480.0,78.69,10.0,-0.0625,588.417,623.339,0.3133,567.058,-0.2651,594.053,535.94,572.903,574.045,606.07,611.8,564.159,636.146,569.418,608.29,590.291,523.098,590.34,590.923,587.215,560.703,568.253,576.368,536.784,575.412,660.28,589.923,551.574,543.509,578.166,535.94,557.546,675.687,586.526,1499.1180645639097
2500.0,0.14201,72400328.0,75.13,9.0,-0.6984,466.194,493.331,0.0217,545.701,-0.0742,509.234,510.179,529.598,493.554,480.939,541.828,462.807,478.258,492.992,448.742,509.826,496.941,479.705,444.634,471.762,472.644,502.951,507.564,497.606,481.049,514.975,510.594,484.524,462.464,511.865,466.976,498.514,497.079,532.708,1301.2071186186645
2149.0,0.05796,72400716.0,78.69,10.0,0.515,481.887,505.792,-0.6331,537.684,2.3015,501.046,500.999,484.649,506.399,463.997,467.703,535.551,505.081,547.966,489.124,526.899,546.286,551.027,500.741,467.668,495.964,521.695,506.101,489.711,518.165,591.892,530.066,524.378,465.455,501.822,507.524,492.995,453.703,509.219,1319.460460268157
2221.0,0.05071,72400645.0,68.7,10.0,0.0017,448.367,514.748,1.1101,487.962,-0.5877,549.602,502.195,495.538,524.805,502.923,468.02,516.212,538.756,489.695,502.13,539.68,576.615,540.59,545.301,509.871,512.55,530.107,514.035,467.158,547.595,529.881,529.617,516.122,509.602,518.433,586.444,517.253,516.805,552.287,1348.8259838953736
2149.0,0.06448,72400430.0,78.69,10.0,0.0841,594.171,529.93,-0.5266,581.836,-0.5827,503.343,557.171,525.633,576.253,507.783,491.384,528.743,555.308,507.408,534.282,563.637,522.793,487.824,593.844,476.572,513.36,498.008,541.955,577.337,552.741,621.735,506.164,533.047,511.836,555.657,545.423,550.81,478.906,502.538,1386.4148927888764
2341.0,0.10461,72400288.0,76.49,10.0,-0.5456,477.765,445.013,-0.8444,444.153,0.4622,430.623,449.147,426.377,460.395,459.736,490.368,418.456,433.441,404.402,475.717,413.977,457.281,390.383,426.752,444.146,437.357,415.241,450.464,452.99,433.892,564.401,492.388,480.661,463.192,435.844,450.163,439.88,470.176,468.132,1190.2047602463176
2211.0,0.02681,72400908.0,88.7,10.0,-0.5257,516.103,521.508,1.8524,563.481,0.6413,548.989,527.948,544.392,502.835,501.697,503.383,564.633,476.041,519.542,519.572,544.421,496.69,518.071,500.937,537.227,556.254,528.469,494.929,528.561,538.255,553.099,465.338,508.609,490.448,549.95,551.132,521.691,547.063,511.808,1362.4708573735368
2221.0,0.10581,72400036.0,68.7,10.0,-0.4609,568.06,557.741,-1.2438,579.696,-0.697,565.264,569.543,559.323,561.104,563.761,554.613,565.001,556.034,575.597,607.353,577.072,534.963,570.775,551.291,582.973,583.184,608.393,565.06,585.57,575.636,542.654,581.073,582.81,601.65,563.185,572.963,594.282,554.405,576.092,1475.0982945904698
2659.0,0.11596,72400422.0,37.59,10.0,-0.3169,465.228,481.151,-0.4347,450.314,0.9153,454.421,457.375,479.352,492.281,447.761,481.95,452.405,467.438,499.294,524.415,492.719,488.659,545.865,499.176,473.963,475.275,458.518,505.697,428.444,436.887,536.286,517.67,496.781,534.238,466.226,494.734,456.429,512.064,471.405,1277.0322085889406
2619.0,0.06679,72400197.0,81.05,10.0,0.9385,581.796,535.415,-0.094,541.448,1.2137,524.629,541.043,570.723,549.263,552.296,597.969,583.083,597.15,558.57,604.838,540.654,539.716,605.733,568.443,563.835,572.696,583.728,573.905,570.428,560.189,634.016,538.667,529.131,592.566,589.707,527.396,573.801,537.21,582.261,1481.5909210124794
2166.0,0.12444,72400534.0,79.74,10.0,0.4741,576.59,615.147,-0.2151,600.057,-0.0639,635.666,566.421,560.559,578.173,544.45,562.394,579.99,587.088,573.776,582.884,576.187,547.387,516.597,604.237,576.674,531.655,562.863,571.546,545.214,543.121,677.157,562.839,585.985,598.718,544.962,604.776,577.83,561.915,556.807,1483.4920872246032
2342.0,0.02205,72400419.0,58.77,10.0,-0.6587,525.095,525.621,0.8347,534.315,-0.2497,534.36,560.164,466.746,515.356,519.03,560.578,567.036,546.298,490.129,533.66,524.596,569.903,580.165,496.831,506.56,529.382,563.528,513.764,537.741,509.163,559.873,454.24,516.283,557.07,520.624,533.619,545.601,507.214,523.594,1377.2604871496142
2634.0,0.08289,72400942.0,85.85,9.0,-0.009363520078286095,517.888,525.779,-0.10330476856908791,475.609,0.04302262034147881,489.63,494.652,462.678,491.891,484.024,509.338,479.72,459.081,444.047,476.104,487.321,492.436,478.351,494.836,480.068,483.827,477.244,498.806,457.526,485.582,446.222,490.542,462.315,447.986,508.422,561.139,499.322,485.564,502.586,1289.7547451171774
2149.0,0.06518,72401050.0,78.69,10.0,0.2929,560.482,525.912,0.5761,542.877,-0.9885,511.796,523.567,483.099,558.249,481.327,463.466,529.871,560.108,527.324,507.908,505.007,481.328,512.049,535.166,504.783,495.017,513.834,544.102,508.77,538.352,596.975,522.168,507.335,537.094,524.463,562.844,524.385,565.788,504.177,1358.850821585543
2144.0,0.11779,72400154.0,77.1,10.0,-0.2447,530.601,571.502,-0.4347,519.898,0.3448,501.001,539.857,521.369,524.943,545.592,521.006,521.972,509.673,544.892,540.65,507.308,534.553,535.347,571.599,563.238,551.717,544.309,558.501,540.465,576.129,498.743,573.665,537.27,606.682,513.561,511.057,524.133,527.528,548.187,1392.8325139551189
2161.0,0.45225,72400958.0,79.74,10.0,-0.009363520078286095,481.653,517.327,-0.10330476856908791,542.739,0.04302262034147881,510.839,450.141,466.662,517.878,466.069,470.736,480.263,506.098,496.37,511.685,527.619,522.091,501.817,503.101,526.365,496.85,496.597,460.857,500.936,436.555,545.462,509.201,495.439,484.177,466.848,521.778,481.582,553.361,519.592,1300.3985877838036
2619.0,0.09174,72400724.0,81.05,10.0,-0.3217,440.841,501.02,-0.4347,462.922,0.4345,486.094,435.026,489.387,448.575,452.169,516.709,448.511,430.762,444.522,444.395,440.752,409.523,484.66,491.286,480.019,470.233,469.065,436.466,433.372,426.812,538.167,444.842,502.752,482.595,452.157,385.051,462.364,494.364,469.486,1230.5255191068895
2262.0,0.06304,72400652.0,81.13,10.0,-0.1247,510.29,495.609,-0.4347,558.178,0.0304,499.81,475.983,498.551,502.086,532.056,537.177,495.46,485.218,489.63,499.849,470.786,496.836,524.523,474.671,521.463,475.281,494.336,516.385,526.28,490.848,488.562,497.027,507.88,480.881,488.772,509.525,522.708,537.396,499.217,1314.8414991365923
2611.0,0.09757,72400896.0,86.72,10.0,-0.4051,423.822,408.88,0.7181,491.598,0.3448,478.712,403.079,387.756,404.953,403.615,404.979,433.333,432.074,433.407,454.587,448.441,474.73,400.169,436.925,429.74,423.268,435.381,418.978,458.315,378.068,468.207,406.259,446.312,399.779,447.112,466.146,457.366,418.774,386.647,1154.9650822281842
2166.0,0.12775,72400527.0,79.74,10.0,0.5947,571.215,600.087,-1.1295,559.181,-0.2497,564.776,588.096,543.875,574.155,551.552,609.906,575.281,597.113,549.483,588.605,567.718,539.903,569.87,550.387,571.878,633.615,589.376,578.309,557.077,606.113,660.589,576.519,615.651,619.185,566.204,593.798,562.665,582.935,565.881,1496.2781738993626
2342.0,0.02996,72400577.0,58.77,10.0,-0.8496,554.45,551.669,-0.4347,505.295,0.4622,555.672,567.014,526.313,534.373,524.68,547.745,528.056,519.285,567.513,541.943,532.53,564.134,527.705,498.242,473.399,538.535,534.732,523.106,546.942,561.003,505.792,524.637,587.681,567.685,573.07,543.848,494.586,489.691,547.443,1394.5765758753173
2611.0,0.11013,72400346.0,86.72,10.0,0.5976,438.119,495.764,0.3468,466.096,1.1354,417.265,487.039,466.484,497.354,485.436,448.869,451.299,481.508,440.746,494.517,501.897,421.036,447.948,494.269,489.778,463.165,451.786,489.209,465.164,440.655,542.506,505.89,486.174,438.566,499.401,441.879,408.563,465.453,466.454,1247.205394498281
2210.0,0.07524,72401073.0,88.7,9.0,-2.1021,423.448,458.824,0.1123,433.572,-1.4757,455.412,445.299,456.113,411.364,430.042,457.033,422.577,439.365,384.434,503.993,367.755,439.634,431.578,414.489,455.035,443.61,374.016,447.58,425.871,430.658,441.624,454.342,382.126,411.177,472.083,417.342,423.099,465.031,428.956,1144.1190366178844
2642.0,0.10789,72400014.0,72.83,10.0,-0.8985,442.321,489.17,-0.4347,472.459,0.5218,441.469,477.569,464.084,487.214,453.548,446.199,445.126,407.39,413.891,455.023,409.965,466.886,498.049,416.293,404.297,449.165,441.43,448.793,441.641,414.005,406.25,440.676,433.201,396.786,468.793,424.513,407.127,463.113,511.389,1190.2098129398755
2166.0,0.23516,72400632.0,79.74,10.0,-0.3054,457.293,480.763,1.8524,469.287,-0.0549,437.919,400.038,450.251,456.756,416.022,444.636,452.593,405.25,401.884,462.004,535.052,397.32,445.071,454.139,405.598,399.925,441.45,426.263,470.491,407.277,458.173,498.091,495.47,439.36,445.887,499.069,371.146,435.859,495.168,1172.2008136571687
2163.0,0.10999,72400979.0,79.74,10.0,0.1904,550.34,501.888,0.3468,519.568,0.3352,572.428,528.605,479.991,557.54,544.917,506.347,538.275,581.362,585.503,527.139,540.629,510.833,541.626,467.742,557.068,490.878,540.758,521.776,533.49,517.604,616.87,565.407,540.03,507.755,516.959,535.467,530.771,484.84,520.827,1380.4012286230632
